age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45,?,77516,Preschool,1,Married-spouse-absent,,Own-child,Other,Male,1055,1741,36,Italy,<=50K.
54,Without-pay,215646,Preschool,8,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Male,2407,1980,46,South,<=50K
71,Without-pay,350977,Doctorate,1,Married-AF-spouse,Transport-moving,Husband,Asian-Pac-Islander,Female,8614,1741,52,United-States,>50K.
44,Federal-gov,77516,Masters,12,Never-married,Armed-Forces,Unmarried,White,Female,2174,1887,20,Honduras,>50K.
36,Self-emp-inc,173449,1st-4th,1,Divorced,Tech-support,Unmarried,Asian-Pac-Islander,Male,14084,1719,44,Philippines,>50K.
49,Private,89686,Prof-school,9,Widowed,Exec-managerial,Wife,Black,Male,1409,1816,50,Poland,<=50K
20,Local-gov,173449,Assoc-voc,1,Married-AF-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,15024,1816,55,Columbia,>50K.
64,Private,89686,9th,7,Married-civ-spouse,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Male,8614,1980,35,?,>50K.
29,,89686,Some-college,13,Married-AF-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Male,7688,2206,52,Jamaica,<=50K.
47,Self-emp-inc,77516,Doctorate,12,Separated,Machine-op-inspct,Husband,Other,Female,2407,1887,52,Jamaica,>50K
90,Private,173449,Masters,7,Divorced,Protective-serv,Not-in-family,Black,Female,3464,1408,41,Puerto-Rico,<=50K
68,?,350977,Bachelors,13,Widowed,Other-service,Other-relative,White,Female,9386,1977,32,Cuba,>50K
22,Without-pay,173449,9th,14,Widowed,Transport-moving,Wife,Other,Female,25236,2206,20,Iran,>50K
43,Federal-gov,77516,Assoc-acdm,1,Separated,Other-service,Other-relative,Black,Female,2050,1741,28,Jamaica,<=50K.
76,State-gov,173449,Preschool,8,Married-AF-spouse,Prof-specialty,Other-relative,Black,Female,6849,1876,15,Iran,>50K
75,Private,77516,10th,13,Never-married,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,4650,1564,70,Cuba,<=50K.
62,Federal-gov,89686,Prof-school,13,Widowed,Transport-moving,Other-relative,Other,Female,5178,1887,45,Ecuador,<=50K
81,Federal-gov,350977,Doctorate,3,Widowed,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,34095,1876,70,Italy,>50K.
35,State-gov,350977,5th-6th,3,Divorced,Farming-fishing,Unmarried,Asian-Pac-Islander,Male,4101,1573,20,Puerto-Rico,>50K
27,Without-pay,77516,5th-6th,2,Never-married,Priv-house-serv,Wife,White,Male,6849,1564,15,Columbia,>50K.
46,Self-emp-inc,89686,12th,2,Married-AF-spouse,Tech-support,Husband,Other,Female,6849,1485,25,Thailand,<=50K
81,Self-emp-not-inc,215646,11th,11,Married-AF-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,9386,1762,44,Honduras,>50K.
90,?,89686,Bachelors,15,Married-spouse-absent,Machine-op-inspct,Other-relative,White,Female,2597,1564,35,Thailand,>50K
72,State-gov,77516,Assoc-voc,4,Married-AF-spouse,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,2407,2206,16,Iran,<=50K.
20,,83311,HS-grad,1,Married-spouse-absent,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,9386,0,28,Germany,<=50K
32,Federal-gov,350977,11th,11,Never-married,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Female,2597,1887,28,Thailand,<=50K.
47,,173449,Doctorate,6,Divorced,Tech-support,Other-relative,Amer-Indian-Eskimo,Female,7688,1902,35,Cuba,<=50K
24,Private,83311,Some-college,2,Married-civ-spouse,Sales,Other-relative,Black,Female,4101,2042,28,Italy,>50K.
31,State-gov,173449,7th-8th,6,Divorced,Adm-clerical,Wife,White,Male,3464,1719,22,Puerto-Rico,<=50K.
68,State-gov,83311,Doctorate,10,Married-AF-spouse,Sales,Own-child,Asian-Pac-Islander,Male,4650,2179,13,Poland,<=50K
35,?,173449,12th,9,Married-AF-spouse,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,7298,2179,44,Jamaica,>50K
88,Never-worked,215646,Prof-school,7,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,7298,2206,28,Iran,<=50K.
75,?,89686,Prof-school,15,Never-married,Exec-managerial,Other-relative,Amer-Indian-Eskimo,Female,5013,1977,48,Italy,>50K
52,Local-gov,77516,Bachelors,5,Married-spouse-absent,,Wife,Other,Male,3674,1741,55,Puerto-Rico,<=50K.
69,Never-worked,350977,9th,7,Widowed,Tech-support,Own-child,Amer-Indian-Eskimo,Male,0,1564,46,Philippines,<=50K
62,Local-gov,350977,Some-college,6,Married-AF-spouse,Other-service,Husband,Asian-Pac-Islander,Female,2597,1741,35,Ecuador,>50K.
47,State-gov,215646,Masters,16,Married-AF-spouse,Handlers-cleaners,Not-in-family,Black,Male,1111,1876,80,?,<=50K
18,Without-pay,77516,HS-grad,12,Married-spouse-absent,,Not-in-family,Amer-Indian-Eskimo,Male,2176,1977,20,Canada,<=50K.
20,Without-pay,173449,7th-8th,8,Married-civ-spouse,?,Wife,Other,Male,3464,1762,38,Cambodia,<=50K
65,Self-emp-not-inc,77516,Preschool,3,Never-married,Craft-repair,Wife,Amer-Indian-Eskimo,Female,9386,1902,42,Honduras,>50K.
88,Local-gov,89686,Doctorate,11,Divorced,Handlers-cleaners,Husband,Black,Male,1111,1762,46,Columbia,>50K
71,Federal-gov,89686,Some-college,5,Never-married,?,Unmarried,Black,Female,25236,2206,22,Cambodia,<=50K
64,Without-pay,83311,Masters,11,Never-married,Craft-repair,Husband,Black,Male,15024,1762,28,England,<=50K.
35,Self-emp-inc,350977,11th,7,Divorced,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,4650,1485,80,Mexico,<=50K
25,,89686,5th-6th,13,Never-married,?,Not-in-family,Other,Male,4101,2042,46,United-States,<=50K
84,Private,89686,Some-college,4,Divorced,Armed-Forces,Husband,Other,Female,5178,1977,16,India,<=50K.
22,Local-gov,89686,HS-grad,6,Separated,Armed-Forces,Wife,White,Male,14084,1340,20,Columbia,<=50K
20,Without-pay,350977,Assoc-acdm,2,Widowed,Prof-specialty,Husband,White,Male,8614,1573,15,Puerto-Rico,<=50K
56,,350977,Doctorate,3,Married-spouse-absent,Prof-specialty,Wife,Black,Male,2174,1485,40,Columbia,<=50K.
56,Never-worked,215646,Preschool,13,Married-AF-spouse,Farming-fishing,Own-child,Amer-Indian-Eskimo,Male,15024,1977,70,Iran,>50K.
50,Self-emp-inc,173449,Some-college,6,Married-spouse-absent,,Not-in-family,Asian-Pac-Islander,Male,594,1980,36,Iran,<=50K
87,Self-emp-inc,215646,12th,10,Never-married,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,4064,1719,25,United-States,>50K
26,?,173449,11th,16,Separated,Adm-clerical,Own-child,Asian-Pac-Islander,Female,3411,1876,60,Cuba,>50K
54,?,173449,12th,14,Never-married,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,34095,1762,50,Honduras,>50K.
18,Self-emp-inc,215646,1st-4th,1,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,1055,1977,30,Ecuador,>50K.
42,Federal-gov,173449,Preschool,16,Married-civ-spouse,Other-service,Own-child,Other,Female,6849,1573,16,Philippines,>50K
34,Federal-gov,173449,12th,6,Separated,Adm-clerical,Other-relative,Black,Male,1409,1876,70,Iran,<=50K.
62,Local-gov,77516,Bachelors,4,Married-civ-spouse,Armed-Forces,Husband,Asian-Pac-Islander,Female,2050,1977,46,Germany,<=50K.
62,,77516,9th,7,Married-civ-spouse,Prof-specialty,Wife,Other,Female,15024,1980,16,Honduras,<=50K.
88,Federal-gov,215646,12th,5,Married-spouse-absent,Protective-serv,Husband,Other,Female,4650,1887,80,Iran,<=50K
41,Private,77516,12th,5,Never-married,Prof-specialty,Husband,Other,Male,2176,1485,60,Italy,<=50K.
20,Self-emp-not-inc,77516,12th,13,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,4064,1762,80,Italy,<=50K.
80,State-gov,215646,HS-grad,12,Widowed,Machine-op-inspct,Other-relative,White,Female,5178,1816,28,Columbia,>50K
71,Never-worked,350977,11th,1,Married-AF-spouse,Sales,Own-child,Other,Male,7688,1762,36,Iran,>50K
36,State-gov,83311,10th,1,Divorced,Handlers-cleaners,Wife,White,Male,20051,1977,38,South,<=50K.
63,Self-emp-not-inc,215646,HS-grad,15,Divorced,Other-service,Husband,Black,Female,4650,1719,25,Cuba,>50K
32,Without-pay,83311,Masters,10,Married-spouse-absent,,Husband,Asian-Pac-Islander,Female,2407,1977,40,Cuba,>50K.
63,Self-emp-inc,173449,12th,16,Divorced,Protective-serv,Own-child,Black,Female,2597,1876,40,Thailand,<=50K.
63,,77516,Doctorate,2,Divorced,Priv-house-serv,Other-relative,Black,Female,2176,0,43,Italy,>50K.
63,Federal-gov,89686,HS-grad,6,Married-spouse-absent,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,6849,0,45,Poland,>50K
65,?,215646,10th,11,Widowed,Tech-support,Wife,Other,Female,4650,2042,58,?,>50K
44,Never-worked,350977,Bachelors,16,Married-civ-spouse,Other-service,Husband,Black,Male,2174,1977,56,England,>50K.
72,,89686,Preschool,14,Separated,Handlers-cleaners,Husband,Black,Female,9386,2042,52,South,<=50K
41,Local-gov,215646,5th-6th,4,Divorced,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,1055,1816,38,Philippines,<=50K
86,Local-gov,350977,Some-college,8,Widowed,Transport-moving,Unmarried,Asian-Pac-Islander,Female,15024,2042,40,India,>50K.
39,Private,77516,1st-4th,3,Married-AF-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,4101,1816,52,Jamaica,>50K.
64,State-gov,215646,11th,16,Never-married,Handlers-cleaners,Not-in-family,Black,Male,20051,1340,58,United-States,<=50K
79,Never-worked,350977,Preschool,1,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,1111,1977,35,England,<=50K.
26,Without-pay,83311,Some-college,14,Widowed,Priv-house-serv,Not-in-family,White,Male,3674,1564,25,Poland,<=50K.
45,State-gov,83311,HS-grad,9,Separated,Craft-repair,Own-child,Other,Male,25236,1564,55,Columbia,>50K.
73,State-gov,83311,1st-4th,16,Married-spouse-absent,Craft-repair,Wife,White,Male,3464,0,22,Thailand,<=50K
18,Without-pay,173449,Prof-school,2,Married-AF-spouse,Exec-managerial,Other-relative,Other,Male,4386,1719,16,Cuba,<=50K
40,Self-emp-not-inc,350977,Some-college,14,Widowed,Craft-repair,Husband,Amer-Indian-Eskimo,Female,1409,1741,36,South,>50K.
37,Never-worked,89686,5th-6th,3,Married-AF-spouse,Sales,Own-child,Amer-Indian-Eskimo,Female,15024,1876,22,Cuba,<=50K.
75,?,350977,10th,12,Married-AF-spouse,Priv-house-serv,Own-child,White,Female,7298,1564,56,South,>50K.
25,Private,215646,Prof-school,10,Never-married,?,Not-in-family,White,Female,5178,1887,60,Puerto-Rico,>50K.
82,?,350977,Preschool,16,Divorced,Armed-Forces,Own-child,Black,Female,25236,1762,13,Cuba,<=50K
55,Local-gov,173449,Prof-school,5,Married-AF-spouse,Tech-support,Unmarried,Black,Male,1111,1977,45,?,>50K.
29,?,89686,Preschool,8,Married-AF-spouse,Transport-moving,Unmarried,White,Male,2407,2206,50,Iran,>50K.
75,Self-emp-not-inc,83311,Preschool,12,Married-spouse-absent,Handlers-cleaners,Other-relative,White,Female,4386,1741,36,Thailand,<=50K.
84,State-gov,215646,Masters,6,Divorced,Adm-clerical,Not-in-family,White,Male,4386,1816,24,England,<=50K
54,Federal-gov,77516,5th-6th,1,Married-civ-spouse,Transport-moving,Other-relative,White,Male,1111,1485,56,?,<=50K
58,?,350977,9th,10,Married-spouse-absent,Priv-house-serv,Own-child,Asian-Pac-Islander,Male,14344,1485,16,Ecuador,<=50K.
78,?,350977,Prof-school,13,Divorced,Transport-moving,Wife,Amer-Indian-Eskimo,Male,3411,1816,15,Poland,<=50K.
62,State-gov,215646,10th,6,Widowed,?,Other-relative,Black,Male,2050,2206,45,Germany,<=50K
69,Local-gov,350977,12th,5,Widowed,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,6849,1741,35,Germany,>50K.
34,Private,215646,5th-6th,7,Married-civ-spouse,Protective-serv,Not-in-family,Asian-Pac-Islander,Male,5013,1564,70,England,>50K
23,Private,350977,Assoc-acdm,12,Never-married,Craft-repair,Other-relative,Asian-Pac-Islander,Male,6849,1485,16,Italy,<=50K
49,Private,215646,10th,11,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,7298,2042,28,Thailand,<=50K.
65,Federal-gov,215646,10th,15,Married-spouse-absent,,Own-child,Asian-Pac-Islander,Female,1111,1485,41,Philippines,>50K.
33,,77516,9th,3,Separated,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,1409,2042,40,Columbia,>50K
36,Self-emp-not-inc,215646,Masters,13,Married-spouse-absent,Exec-managerial,Wife,White,Male,6849,2179,56,Mexico,>50K
21,Local-gov,215646,Prof-school,11,Widowed,?,Husband,Black,Female,8614,1564,15,India,>50K.
50,Local-gov,83311,Preschool,4,Divorced,Tech-support,Wife,Amer-Indian-Eskimo,Male,7688,1408,16,England,>50K
62,Self-emp-not-inc,89686,12th,12,Separated,Transport-moving,Unmarried,Asian-Pac-Islander,Female,2407,1719,41,Honduras,<=50K
59,Self-emp-not-inc,350977,Some-college,4,Separated,Farming-fishing,Husband,Asian-Pac-Islander,Female,1055,2206,40,Poland,>50K
21,Self-emp-not-inc,215646,5th-6th,6,Married-civ-spouse,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,1111,1876,45,Columbia,>50K.
33,Federal-gov,215646,1st-4th,3,Married-spouse-absent,Armed-Forces,Own-child,Black,Female,5178,2042,70,Cambodia,>50K
67,State-gov,215646,Bachelors,10,Married-civ-spouse,Tech-support,Own-child,Other,Female,15024,1876,16,Thailand,<=50K.
62,?,77516,Preschool,13,Separated,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,7688,1980,56,Thailand,<=50K.
54,,173449,5th-6th,13,Married-AF-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Female,2050,1816,56,Italy,>50K.
42,Local-gov,215646,Preschool,5,Separated,?,Wife,White,Female,1055,1816,70,Mexico,>50K.
52,Self-emp-inc,89686,7th-8th,14,Widowed,Protective-serv,Unmarried,Black,Female,4101,1408,52,Columbia,>50K.
74,,215646,11th,11,Widowed,Handlers-cleaners,Unmarried,Other,Male,2050,2179,38,Mexico,>50K.
73,Local-gov,350977,Assoc-acdm,11,Married-civ-spouse,?,Own-child,Asian-Pac-Islander,Male,1111,2042,13,England,<=50K
28,Never-worked,89686,Assoc-voc,5,Married-spouse-absent,Craft-repair,Other-relative,White,Female,2174,1762,48,Mexico,<=50K.
79,Local-gov,173449,Assoc-acdm,10,Divorced,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,3674,2042,55,Iran,<=50K
89,,83311,10th,3,Widowed,Priv-house-serv,Unmarried,White,Female,7688,1876,46,?,>50K.
37,Federal-gov,215646,Some-college,6,Married-spouse-absent,Protective-serv,Wife,Amer-Indian-Eskimo,Female,25236,1887,28,United-States,>50K.
25,Local-gov,89686,Assoc-acdm,14,Widowed,,Unmarried,Amer-Indian-Eskimo,Male,3674,1762,16,?,>50K.
72,Never-worked,83311,Masters,9,Married-AF-spouse,Armed-Forces,Unmarried,White,Male,0,1977,35,Honduras,<=50K.
22,Federal-gov,215646,10th,16,Never-married,Protective-serv,Other-relative,Black,Female,6849,1816,70,Canada,<=50K.
41,Private,350977,11th,3,Married-spouse-absent,Craft-repair,Wife,Other,Male,7688,1485,35,South,<=50K
88,Without-pay,173449,11th,15,Separated,?,Wife,Asian-Pac-Islander,Female,20051,1340,40,England,<=50K.
83,Self-emp-inc,215646,HS-grad,11,Never-married,Adm-clerical,Not-in-family,White,Female,594,1485,36,Ecuador,<=50K
82,State-gov,77516,9th,7,Never-married,Priv-house-serv,Wife,Amer-Indian-Eskimo,Female,0,1977,28,Columbia,>50K.
30,Never-worked,77516,1st-4th,8,Divorced,?,Other-relative,Asian-Pac-Islander,Male,594,1741,42,Cambodia,<=50K
54,State-gov,350977,HS-grad,6,Widowed,,Unmarried,Asian-Pac-Islander,Female,3674,1741,20,Thailand,<=50K
18,?,89686,Doctorate,1,Married-spouse-absent,Tech-support,Unmarried,Asian-Pac-Islander,Male,3464,1887,36,Germany,<=50K
88,,83311,Prof-school,14,Never-married,Tech-support,Husband,Amer-Indian-Eskimo,Female,4650,1902,13,India,<=50K
45,Never-worked,83311,Preschool,11,Never-married,Prof-specialty,Husband,White,Male,25236,1816,20,Cambodia,<=50K.
46,Without-pay,83311,10th,15,Married-civ-spouse,,Not-in-family,Black,Male,1111,1340,52,?,>50K.
73,Local-gov,83311,11th,4,Never-married,Protective-serv,Own-child,Black,Female,4650,2179,38,Germany,>50K
55,Without-pay,215646,5th-6th,1,Married-AF-spouse,Prof-specialty,Own-child,Other,Female,7688,1340,44,Ecuador,<=50K
69,Self-emp-inc,77516,Bachelors,16,Never-married,Armed-Forces,Wife,Black,Male,14084,1573,56,Jamaica,<=50K
21,?,215646,10th,14,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,5178,1564,30,Germany,<=50K.
24,,350977,9th,5,Separated,Handlers-cleaners,Own-child,White,Male,2597,1816,80,Puerto-Rico,<=50K.
56,State-gov,215646,Preschool,11,Separated,Priv-house-serv,Wife,Other,Male,25236,1902,50,United-States,<=50K.
19,Never-worked,83311,Some-college,2,Married-AF-spouse,Other-service,Own-child,Amer-Indian-Eskimo,Male,4386,1977,70,United-States,<=50K.
18,,89686,Doctorate,7,Married-civ-spouse,Other-service,Unmarried,Asian-Pac-Islander,Female,14084,1573,20,?,>50K
86,Never-worked,77516,1st-4th,14,Separated,?,Unmarried,White,Female,4101,1741,80,Iran,<=50K
